timestring,pH,Temperature,PAR,LightOut,Actuators
date,,°C,µmol/m²/s,%,
26.04.2024 14:56:55.622,7.39,23.1,898,50,7
26.04.2024 14:56:56.789,7.39,23.1,968,50,7
26.04.2024 14:56:57.990,7.38,23.1,1053,50,7
26.04.2024 14:56:59.155,7.38,23.1,1098,50,7
26.04.2024 14:57:03.250,7.37,23.1,1052,50,7
26.04.2024 14:57:04.622,7.37,23.1,1144,50,7
26.04.2024 14:57:05.739,7.36,23.1,1242,50,7
26.04.2024 14:57:07.490,7.37,23.1,1142,50,7
26.04.2024 14:57:08.588,7.37,23.1,989,50,7
26.04.2024 14:57:09.756,7.36,23.1,866,50,7
26.04.2024 14:57:10.956,7.37,23.1,828,50,7
26.04.2024 14:57:15.438,7.36,23.1,862,50,7
26.04.2024 14:57:16.772,7.36,23.1,924,50,7
26.04.2024 14:57:17.858,7.35,23.1,1007,50,7
26.04.2024 14:57:19.580,7.35,23.1,1058,50,7
26.04.2024 14:57:21.638,7.35,23.1,1069,50,7
26.04.2024 14:57:23.671,7.36,23.1,1038,50,7
26.04.2024 14:57:25.550,7.35,23.1,989,50,7
26.04.2024 14:57:26.388,7.35,23.1,951,50,7
26.04.2024 14:57:27.739,7.34,23.1,891,50,7
26.04.2024 14:57:28.904,7.34,23.1,828,50,7
26.04.2024 14:57:30.154,7.35,23.1,788,50,7
26.04.2024 14:57:33.987,7.34,23.1,742,50,7
26.04.2024 14:57:35.457,7.34,23.1,701,50,7
26.04.2024 14:57:36.872,7.34,23.1,660,50,7
26.04.2024 14:57:38.221,7.34,23.1,621,50,7
26.04.2024 14:57:39.872,7.33,23.1,599,50,7
26.04.2024 14:57:45.404,7.33,23.1,582,50,7
26.04.2024 14:57:53.236,7.33,23.1,566,50,7
26.04.2024 14:57:59.569,7.33,23.1,551,50,7
26.04.2024 14:58:13.687,7.33,23.1,567,50,7
26.04.2024 14:58:15.653,7.33,23.2,543,50,7
26.04.2024 14:58:19.885,7.32,23.1,526,50,7
26.04.2024 14:58:23.420,7.32,23.1,511,50,7
26.04.2024 14:58:28.201,7.33,23.2,496,50,7
26.04.2024 14:58:34.153,7.32,23.1,483,50,7
26.04.2024 14:58:43.851,7.32,23.1,469,50,7
26.04.2024 14:59:00.568,7.32,23.1,458,50,7
26.04.2024 14:59:16.900,7.34,23.1,447,50,7
26.04.2024 14:59:32.417,7.34,23.1,436,50,7
26.04.2024 15:00:03.665,7.35,23.1,423,50,7
26.04.2024 15:01:29.395,7.34,23.2,434,50,7
26.04.2024 15:01:48.620,7.34,23.1,447,50,7
26.04.2024 15:02:04.100,7.34,23.2,459,50,7
26.04.2024 15:02:18.194,7.36,23.2,471,50,7
26.04.2024 15:02:30.243,7.36,23.2,483,50,7
26.04.2024 15:02:39.392,7.37,23.2,496,50,7
26.04.2024 15:02:47.493,7.36,23.2,511,50,7
26.04.2024 15:02:55.590,7.36,23.2,523,50,7
26.04.2024 15:03:09.724,7.37,23.2,536,50,7
26.04.2024 15:03:24.910,7.37,23.2,547,50,7
26.04.2024 15:03:38.973,7.36,23.2,559,50,7
26.04.2024 15:03:48.190,7.37,23.2,573,50,7
26.04.2024 15:03:54.190,7.37,23.2,587,50,7
26.04.2024 15:03:57.673,7.37,23.2,603,50,7
26.04.2024 15:04:00.556,7.37,23.2,622,50,7
26.04.2024 15:04:02.822,7.38,23.2,647,50,7
26.04.2024 15:04:04.421,7.37,23.2,680,50,7
26.04.2024 15:04:05.923,7.37,23.2,719,50,7
26.04.2024 15:04:07.305,7.38,23.2,767,50,7
26.04.2024 15:04:08.505,7.37,23.2,825,50,7
26.04.2024 15:04:09.789,7.38,23.2,863,50,7
26.04.2024 15:04:11.638,7.38,23.2,892,50,7
26.04.2024 15:04:12.923,7.37,23.2,940,50,7
26.04.2024 15:04:17.539,7.37,23.2,1059,50,7
26.04.2024 15:04:18.621,7.38,23.2,1252,50,7
26.04.2024 15:04:19.721,7.38,23.2,1401,50,7
26.04.2024 15:04:20.822,7.38,23.2,1473,50,7
26.04.2024 15:04:24.154,7.37,23.2,1399,50,7
26.04.2024 15:04:25.288,7.38,23.2,1294,50,7
26.04.2024 15:04:26.438,7.37,23.2,1199,50,7
